"","stat1","ifngr","factor.stat1","factor.ifngr"
"129",1763536.58353068,4589653.5867203,99692.6246285828,140
"130",2320572.56762311,4589653.5867203,131181.837716276,140
"131",2943025.41201188,4589653.5867203,166369.062265034,140
"132",3602963.15886475,4589653.5867203,203675.306257727,140
"133",5514512.95931164,4589653.5867203,311735.109776671,140
"134",2842906.52075399,4589653.5867203,160709.346930737,140
"135",2095532.00313332,4589653.5867203,118460.307167151,140
"136",2466511.91247611,4589653.5867203,139431.780734665,140
"137",2567541.47616721,4589653.5867203,145142.976330779,140
"138",2046376.02672424,4589653.5867203,115681.522564571,140
"139",1411035.96299555,4589653.5867203,79765.7842258761,140
"140",2977892.36602815,4589653.5867203,168340.089229344,140
"141",1484517.27213472,4589653.5867203,83919.6785298781,140
"142",1601573.39585128,4589653.5867203,90536.8546696492,140
"143",2916489.9184328,4589653.5867203,164869.012294187,140
"144",1367969.94162281,4589653.5867203,77331.2644415661,140
"145",2372772.16302008,4589653.5867203,134132.677930351,140
"146",1858621.17933799,4589653.5867203,105067.751522067,140
"147",2315043.24625858,4589653.5867203,130869.265488179,140
"148",1319292.30390291,4589653.5867203,74579.5202983852,140
"149",4466593.26059204,4589653.5867203,252496.267701619,140
"150",2442989.44021738,4589653.5867203,138102.056690873,140
"151",3843646.81070178,4589653.5867203,217281.139661414,140
"152",4011358.20361752,4589653.5867203,226761.855341501,140
"153",2077598.72327877,4589653.5867203,117446.539857987,140
"154",2235229.60770192,4589653.5867203,126357.404955669,140
"155",4588341.54476149,4589653.5867203,259378.691409881,140
"156",1096084.80552439,4589653.5867203,61961.6128742109,140
"157",4056151.77925634,4589653.5867203,229294.033672042,140
"158",3528517.48671999,4589653.5867203,199466.896566848,140
"159",1687903.70529999,4589653.5867203,95417.1022439349,140
"160",1005596.1660719,4589653.5867203,56846.2951369245,140
"161",2992005.68475599,4589653.5867203,169137.914349241,140
"162",3125660.32285719,4589653.5867203,176693.403580667,140
"163",3495662.22127208,4589653.5867203,197609.590245018,140
"164",2000020.40828985,4589653.5867203,113061.042041988,140
"165",2870058.57727631,4589653.5867203,162244.25117035,140
"166",1953428.51185331,4589653.5867203,110427.204737132,140
"167",2371360.77582574,4589653.5867203,134052.892291037,140
"168",2209892.80525273,4589653.5867203,124925.116927485,140
"169",843326.557567409,4589653.5867203,47673.203225852,140
"170",3704653.85513079,4589653.5867203,209423.875641399,140
"171",2672804.14057252,4589653.5867203,151093.46887398,140
"172",3946706.96931908,4589653.5867203,223107.124675361,140
"173",4745907.13631553,4589653.5867203,268285.865505317,140
"174",3921385.58708085,4589653.5867203,221675.708350842,140
"175",1073896.33427028,4589653.5867203,60707.2998327486,140
"176",3094096.69540239,4589653.5867203,174909.11348249,140
"177",2549496.18476255,4589653.5867203,144122.877014939,140
"178",2227316.76548862,4589653.5867203,125910.092427036,140
"179",1524033.88440411,4589653.5867203,86153.5504156994,140
"180",3350902.76939858,4589653.5867203,189426.3465109,140
"181",1396206.0701421,4589653.5867203,78927.4512106564,140
"182",867994.005303933,4589653.5867203,49067.6526694916,140
"183",4122523.91409059,4589653.5867203,233046.046749413,140
"184",1496183.27399929,4589653.5867203,84579.1569641012,140
"185",3494523.68612359,4589653.5867203,197545.228916625,140
"186",1539923.33918824,4589653.5867203,87051.7804077165,140
"187",1964201.03773006,4589653.5867203,111036.175023635,140
"188",2867353.47496757,4589653.5867203,162091.331887832,140
"189",3353493.72039723,4589653.5867203,189572.81282623,140
"190",2322437.58565847,4589653.5867203,131287.267081712,140
"191",1579003.56144581,4589653.5867203,89260.9831905281,140
"192",2162512.13191195,4589653.5867203,122246.69010826,140
"193",3623414.44717733,4589653.5867203,204831.416444472,140
"194",3641559.50901492,4589653.5867203,205857.155777316,140
"195",1316366.18532091,4589653.5867203,74414.1069782771,140
"196",3694053.61716729,4589653.5867203,208824.644781015,140
"197",2864349.33162118,4589653.5867203,161921.507832148,140
"198",1792260.61783741,4589653.5867203,101316.392684603,140
"199",3466628.66233795,4589653.5867203,195968.324779088,140
"200",1898333.76881763,4589653.5867203,107312.701988644,140
"201",789817.556404153,4589653.5867203,44648.3423768986,140
"202",1651277.7221929,4589653.5867203,93346.6374633077,140
"203",1738131.84009317,4589653.5867203,98256.4959001216,140
"204",3025433.30479412,4589653.5867203,171027.575844109,140
"205",2519444.84183728,4589653.5867203,142424.076276802,140
"206",3131507.04268779,4589653.5867203,177023.918326335,140
"207",2513074.26522463,4589653.5867203,142063.947936486,140
"208",2728130.52409234,4589653.5867203,154221.066246106,140
"209",3303656.2650156,4589653.5867203,186755.504255371,140
"210",2680769.30176808,4589653.5867203,151543.73899176,140
"211",2248731.34140646,4589653.5867203,127120.657208337,140
"212",2699033.78790454,4589653.5867203,152576.229373553,140
"213",1944544.58047869,4589653.5867203,109924.996592414,140
"214",4461831.20139054,4589653.5867203,252227.06876077,140
"215",1297297.34002588,4589653.5867203,73336.1462181484,140
"216",3587720.85596066,4589653.5867203,202813.659725365,140
"217",1573999.43273544,4589653.5867203,88978.1000738548,140
"218",2610600.89134487,4589653.5867203,147577.122667249,140
"219",3575579.09911592,4589653.5867203,202127.28688867,140
"220",3011728.59089852,4589653.5867203,170252.849132571,140
"221",1793273.54029697,4589653.5867203,101373.653134702,140
"222",1904744.10754498,4589653.5867203,107675.078079084,140
"223",1200657.92198654,4589653.5867203,67873.1253106757,140
"224",1480668.70835431,4589653.5867203,83702.1194341939,140
"225",1856938.03864317,4589653.5867203,104972.60367254,140
"226",1329527.26561843,4589653.5867203,75158.1021128611,140
"227",2089811.5070517,4589653.5867203,118136.927842968,140
"228",3523079.22425931,4589653.5867203,199159.471893503,140
"229",3409333.12200765,4589653.5867203,192729.411082382,140
"230",5083735.86072978,4589653.5867203,287383.304439277,140
"231",2571484.78911833,4589653.5867203,145365.891591795,140
"232",3177709.53164627,4589653.5867203,179635.742448192,140
"233",1615345.78752178,4589653.5867203,91315.4072020247,140
"234",2714424.10037833,4589653.5867203,153446.242878629,140
"235",5856917.42826028,4589653.5867203,331091.215293749,140
"236",1656746.73096065,4589653.5867203,93655.8002236754,140
